SentId,Word,POS,Tag
Sentence: 1,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,FW,O
NaN,mga,DTCP,O
NaN,mata,NNC_CCP,O
NaN,kindat,VBTR,O
NaN,halina,NNC,O
NaN,kislap,VBAF,O
NaN,dilim,NNC,Natural_Environment
Sentence: 2,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,FW,O
NaN,araw,RBW,Natural_Environment
NaN,sikat,VBTF,O
Sentence: 3,darating,VBTF,O
NaN,umaga,RBW,Natural_Environment
Sentence: 4,halina,RBW,O
NaN,huwag,RBF,O
NaN,takot,VBW,O
NaN,dilim,NNC,Natural_Environment
NaN,alitaptap,NNC,Animals
NaN,alitaptap,NNC,Animals
NaN,halina,NNC,O
NaN,halina,NNC,O
Sentence: 5,halina,RBW,O
NaN,aliw,NNC,O
Sentence: 6,balot,VBTS,Objects
NaN,dilim,NNC,Natural_Environment
Sentence: 7,mga,DTCP,O
NaN,mata,NNC_CCP,O
NaN,lungkot,JJD,O
NaN,luha,NNC,O
Sentence: 8,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,NNC,O
Sentence: 9,isa,PRI_CCP,O
NaN,pilyo,JJD_CCP,O
NaN,bata,NNC,Humans_Body
Sentence: 10,halina,RBW,O
NaN,tuksuhin,VBOF,O
Sentence: 11,bruha,RBD,O
NaN,dilim,NNC,Natural_Environment
Sentence: 12,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,NNC,O
Sentence: 13,manukso,VBW,O
NaN,nang,RBW,O
NaN,manukso,VBW,O
NaN,hilo,VBW,O
NaN,nang,RBW,O
NaN,hilo,VBW,O
Sentence: 14,hila,VBOF,O
NaN,baba,RBD,O
NaN,elepante,NNC,Animals
Sentence: 15,isa,PRI_CCP,O
NaN,anay,NNC,Animals
Sentence: 16,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,NNC,O
Sentence: 17,araw,RBW,Natural_Environment
NaN,ginto,JJD_CCP,Objects
NaN,pintuan,NNC,Objects
NaN,dahan,JJD,O
NaN,banayad,JJD,O
NaN,halina,NNC,O
NaN,buksan,VBOF,O
NaN,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,NNC,O
Sentence: 18,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,FW,O
NaN,alitaptap,FW,Animals
NaN,alitaptap,FW,Animals
NaN,halina,FW,O
NaN,halina,NNC,O
Sentence: 19,ben,FW,O
NaN,laki,JJD_CCP,O
NaN,pamilya,NNC,Humans_Body
Sentence: 20,silang,PRP_CCP,Humans_Body
Sentence: 21,lola,NNC,Humans_Body
Sentence: 22,lolo,NNC,Humans_Body
Sentence: 23,ben,FW,O
NaN,pusa,NNC,Animals
Sentence: 24,tita,NNC,Humans_Body
Sentence: 25,tito,NNC,Humans_Body
Sentence: 26,bunso,NNC,Humans_Body
Sentence: 27,mga,DTCP,O
NaN,magulang,NNC,Humans_Body
Sentence: 28,masyado,JJCS_CCP,O
NaN,dami,PRI_CCP,O
NaN,tao,NNC,O
NaN,wala,VBN,O
NaN,lugar,NNC,Natural_Environment
